Name,LZ,CTW,Dance_mode,Music_mode,Palo,Participant
P7_D6_G1_M6_R1_T1,0.4699427330786599,0.5115695533090171,D6,M6,R1,P7
P4_D0_G2_M6_R2_T1,0.4158906940537394,0.4479983530715006,D0,M6,R2,P4
P7_D5_G1_M6_R2_T1,0.5191092094011314,0.5461172376145711,D5,M6,R2,P7
P5_D1_G3_M6_R1_T1,0.1665973263178774,0.2113587407939539,D1,M6,R1,P5
P3_D6_G1_M6_R2_T1,0.4315493045363988,0.4638849897419168,D6,M6,R2,P3
P3_D5_G1_M6_R1_T1,0.4413175391014486,0.480467288236185,D5,M6,R1,P3
P4_D1_G2_M1_R2_T1,0.3906612319828594,0.4165173794170056,D1,M1,R2,P4
P6_D1_G1_M1_R2_T1,0.4458327276101986,0.4661779226526266,D1,M1,R2,P6
P6_D0_G1_M6_R2_T1,0.4594999068852529,0.4739806463771012,D0,M6,R2,P6
P3_D1_G1_M6_R2_T1,0.406331957729773,0.4383863975616394,D1,M6,R2,P3
P5_D5_G3_M6_R2_T1,0.1993807982646762,0.2324311614561925,D5,M6,R2,P5
P5_D6_G3_M6_R1_T1,0.2374930286608103,0.2969271884934561,D6,M6,R1,P5
P7_D1_G1_M6_R1_T1,0.4692587637256424,0.5120755328332165,D1,M6,R1,P7
P4_D5_G2_M5_R2_T1,0.3712085429709296,0.399452513394571,D5,M5,R2,P4
P6_D5_G1_M6_R1_T1,0.4087686412661387,0.4365298301816184,D5,M6,R1,P6
P6_D6_G1_M6_R2_T1,0.4070025691001354,0.4290813621753409,D6,M6,R2,P6
P5_D5_G3_M5_R1_T1,0.2522199628629754,0.3264685704012815,D5,M5,R1,P5
P7_D1_G1_M1_R1_T1,0.5033082834213506,0.564185632232647,D1,M1,R1,P7
P3_D0_G1_M6_R2_T1,0.4613492382017286,0.4952834876738667,D0,M6,R2,P3
P4_D5_G2_M6_R1_T1,0.4153120008500419,0.4468730660639215,D5,M6,R1,P4
P4_D6_G2_M6_R2_T1,0.4370801854579944,0.4645654255940994,D6,M6,R2,P4
P7_D0_G1_M6_R1_T1,0.4804694888518984,0.5108563966850909,D0,M6,R1,P7
P3_D1_G1_M1_R2_T1,0.273862369732902,0.3204102118291523,D1,M1,R2,P3
P5_D1_G3_M1_R1_T1,0.2277152688676533,0.2829191394611259,D1,M1,R1,P5
P4_D1_G2_M6_R2_T1,0.411223354351007,0.4397736701734814,D1,M6,R2,P4
P7_D5_G1_M5_R1_T1,0.4414720022212243,0.4843734411462473,D5,M5,R1,P7
P5_D0_G3_M6_R1_T1,0.3124724185230019,0.3700726773116659,D0,M6,R1,P5
P3_D5_G1_M5_R2_T1,0.3357792882275158,0.3720820094876146,D5,M5,R2,P3
P6_D1_G1_M6_R2_T1,0.4275020635374809,0.4522477650112617,D1,M6,R2,P6
P6_D5_G1_M5_R1_T1,0.4196534647937633,0.4526816998128957,D5,M5,R1,P6
P4_D5_G2_M5_R1_T1,0.3810441232301887,0.4013448957660061,D5,M5,R1,P4
P7_D1_G1_M6_R2_T1,0.4787628057481339,0.5091790046108774,D1,M6,R2,P7
P5_D6_G3_M6_R2_T1,0.1901915389799789,0.219759290401289,D6,M6,R2,P5
P5_D5_G3_M6_R1_T1,0.2342913784797924,0.294639462822948,D5,M6,R1,P5
P3_D1_G1_M6_R1_T1,0.3701248608976148,0.4001463249842719,D1,M6,R1,P3
P4_D1_G2_M1_R1_T1,0.32014982844113,0.3418450242223667,D1,M1,R1,P4
P3_D5_G1_M6_R2_T1,0.4143445045747043,0.4482324189409156,D5,M6,R2,P3
P3_D6_G1_M6_R1_T1,0.4364616316090856,0.4626439270153559,D6,M6,R1,P3
P5_D1_G3_M6_R2_T1,0.2163235795264323,0.258267118792621,D1,M6,R2,P5
P7_D5_G1_M6_R1_T1,0.4670114190175631,0.5068135747275513,D5,M6,R1,P7
P7_D6_G1_M6_R2_T1,0.518780265745722,0.5545650958315153,D6,M6,R2,P7
P6_D0_G1_M6_R1_T1,0.4701508364718156,0.4857107838208633,D0,M6,R1,P6
P4_D0_G2_M6_R1_T2,0.4476508981246063,0.4675771109394585,D0,M6,R1,P4
P6_D1_G1_M1_R1_T1,0.4316768109915129,0.4540693506079754,D1,M1,R1,P6
P3_D5_G1_M5_R1_T1,0.3455060303396354,0.3705729818447658,D5,M5,R1,P3
P5_D0_G3_M6_R2_T1,0.2496120013371775,0.2940289071884177,D0,M6,R2,P5
P7_D5_G1_M5_R2_T1,0.4884099425889617,0.5225144355057914,D5,M5,R2,P7
P4_D1_G2_M6_R1_T1,0.4418005973899906,0.4675723330252747,D1,M6,R1,P4
P5_D1_G3_M1_R2_T1,0.1820979891582197,0.2112683161174714,D1,M1,R2,P5
P6_D1_G1_M6_R1_T1,0.4234811694314264,0.4521783774864642,D1,M6,R1,P6
P6_D6_G1_M6_R1_T1,0.4305036345953487,0.454477576405441,D6,M6,R1,P6
P6_D5_G1_M6_R2_T1,0.4330572553794659,0.4579882861866292,D5,M6,R2,P6
P3_D1_G1_M1_R1_T1,0.4047180553310276,0.4299707238710351,D1,M1,R1,P3
P4_D6_G2_M6_R1_T1,0.4372317986044737,0.4730857535807846,D6,M6,R1,P4
P7_D0_G1_M6_R2_T1,0.480788115867601,0.5011345532759733,D0,M6,R2,P7
P4_D5_G2_M6_R2_T1,0.4262810651410869,0.4539881399210038,D5,M6,R2,P4
P3_D0_G1_M6_R1_T1,0.4659464414686864,0.4985895962121073,D0,M6,R1,P3
P7_D1_G1_M1_R2_T1,0.4716307707869518,0.5045960384967937,D1,M1,R2,P7
P5_D5_G3_M5_R2_T1,0.2669680635100933,0.3020643025832084,D5,M5,R2,P5
