,sample,time,LZ,CTW
0,5,0.00010416666666666667,,
1,20,0.0004166666666666667,,
2,45,0.0009375,0.36612353975531164,0.36612353975531164
3,80,0.0016666666666666668,0.3160964047443681,0.3160964047443681
4,125,0.0026041666666666665,0.3343576456637802,0.3343576456637802
5,180,0.00375,0.33297124872576334,0.33297124872576334
6,245,0.005104166666666667,0.2591555245388595,0.2591555245388595
7,320,0.006666666666666667,0.26006025296523005,0.26006025296523005
8,405,0.0084375,0.23525817055677004,0.23525817055677004
9,500,0.010416666666666666,0.25104195997053846,0.25104195997053846
10,605,0.012604166666666666,0.19856245837703376,0.19856245837703376
11,720,0.015,0.18456381020641033,0.18456381020641033
12,845,0.017604166666666667,0.2186193409375401,0.2186193409375401
13,980,0.020416666666666666,0.21292795583576937,0.21292795583576937
14,1125,0.0234375,0.20721894540480107,0.20721894540480107
15,1280,0.02666666666666667,0.1854721454550073,0.1854721454550073
16,1445,0.030104166666666668,0.18887072540629002,0.18887072540629002
17,1620,0.03375,0.18427764613433065,0.18427764613433065
18,1805,0.03760416666666667,0.185790181038787,0.185790181038787
19,2000,0.041666666666666664,0.16996965641226233,0.16996965641226233
20,2205,0.0459375,0.1813316398439981,0.1813316398439981
21,2420,0.050416666666666665,0.17650829364551832,0.17650829364551832
22,2645,0.05510416666666667,0.17193273356523836,0.17193273356523836
23,2880,0.06,0.17556997786059222,0.17556997786059222
24,3125,0.06510416666666667,0.1671788228318901,0.1671788228318901
25,3380,0.07041666666666667,0.16647774008761484,0.16647774008761484
26,3645,0.0759375,0.16230045403586146,0.16230045403586146
27,3920,0.08166666666666667,0.15529809563498245,0.15529809563498245
28,4205,0.08760416666666666,0.16317710698052865,0.16317710698052865
29,4500,0.09375,0.15911263286225766,0.15911263286225766
30,4805,0.10010416666666666,0.15781058987949825,0.15781058987949825
31,5120,0.10666666666666667,0.1564307277671247,0.1564307277671247
32,5445,0.1134375,0.15955007224100987,0.15955007224100987
33,5780,0.12041666666666667,0.1535080654315832,0.1535080654315832
34,6125,0.12760416666666666,0.15404686688298727,0.15404686688298727
35,6480,0.135,0.15045631381611774,0.15045631381611774
36,6845,0.14260416666666667,0.1526294310801916,0.1526294310801916
37,7220,0.15041666666666667,0.15090187885745643,0.15090187885745643
38,7605,0.1584375,0.1474908258168615,0.1474908258168615
39,8000,0.16666666666666666,0.15072724230919676,0.15072724230919676
40,8405,0.17510416666666667,0.14735491372893936,0.14735491372893936
41,8820,0.18375,0.1515724965901789,0.1515724965901789
42,9245,0.19260416666666666,0.15247884950342852,0.15247884950342852
43,9680,0.20166666666666666,0.15046353786547675,0.15046353786547675
44,10125,0.2109375,0.15112572277213548,0.15112572277213548
45,10580,0.22041666666666668,0.15163386019283237,0.15163386019283237
46,11045,0.23010416666666667,0.15200436620917426,0.15200436620917426
47,11520,0.24,0.1475671432411058,0.1475671432411058
48,12005,0.2501041666666667,0.14900274113882106,0.14900274113882106
49,12500,0.2604166666666667,0.14807288836187252,0.14807288836187252
50,13005,0.2709375,0.14817499483391616,0.14817499483391616
51,13520,0.2816666666666667,0.1471750807706793,0.1471750807706793
52,14045,0.29260416666666667,0.14714598437892948,0.14714598437892948
53,14580,0.30375,0.14704485462127684,0.14704485462127684
