Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,All,7.00,0.88,5.00,1.34,4.00,0.85,1.50,-0.57,2.25,0.00,5.00,-0.31,1.00,-0.93,4.00,0.26,1.00,-0.90
Buleria - IMP1,All,7.00,0.88,4.00,0.53,4.00,0.85,3.50,1.54,3.00,0.73,5.67,0.22,1.00,-0.93,4.00,0.26,2.00,-0.33
Seguirya - IMP1,All,6.00,0.29,2.00,-1.07,4.00,0.85,3.50,1.54,4.88,2.55,5.00,-0.31,3.00,0.19,5.00,0.79,4.00,0.81
Seguirya - COM1,All,2.00,-2.05,2.00,-1.07,1.00,-2.20,1.00,-1.10,1.00,-1.21,3.33,-1.66,7.00,2.41,7.00,1.85,5.00,1.38
Solea - IMP1,All,7.00,0.88,4.00,0.53,3.00,-0.17,2.00,-0.04,3.12,0.85,5.67,0.22,5.00,1.30,4.00,0.26,5.00,1.38
Guajira - IMP1,All,7.00,0.88,4.00,0.53,2.00,-1.18,1.00,-1.10,1.38,-0.85,3.00,-1.93,3.00,0.19,6.00,1.32,5.00,1.38
Buleria - IMP2,All,4.00,-0.88,5.00,1.34,4.00,0.85,1.00,-1.10,1.75,-0.49,7.00,1.30,3.00,0.19,1.00,-1.32,1.00,-0.90
Buleria - BAI1,All,7.00,0.88,4.00,0.53,3.00,-0.17,2.00,-0.04,1.75,-0.49,7.00,1.30,1.00,-0.93,1.00,-1.32,1.00,-0.90
Seguirya - IMP2,All,4.00,-0.88,1.00,-1.87,3.00,-0.17,3.00,1.01,2.38,0.12,5.00,-0.31,1.00,-0.93,3.00,-0.26,1.00,-0.90
Solea - IMP1_2,All,7.00,0.88,4.00,0.53,4.00,0.85,3.00,1.01,2.62,0.36,6.33,0.76,3.00,0.19,4.00,0.26,4.00,0.81
Solea - IMP2,All,4.00,-0.88,3.00,-0.27,4.00,0.85,2.00,-0.04,1.75,-0.49,6.67,1.03,1.00,-0.93,1.00,-1.32,1.00,-0.90
Guajira - IMP2,All,4.00,-0.88,2.00,-1.07,2.00,-1.18,1.00,-1.10,1.12,-1.09,5.00,-0.31,3.00,0.19,2.00,-0.79,1.00,-0.90
mean,All,5.50,-0.00,3.33,-0.00,3.17,0.00,2.04,0.00,2.25,0.00,5.39,-0.00,2.67,0.00,3.50,-0.00,2.58,-0.00
std,All,1.64,0.96,1.20,0.96,0.95,0.96,0.91,0.96,0.99,0.96,1.19,0.96,1.72,0.96,1.82,0.96,1.69,0.96
